,timestamp,altitude_ref
0,0.0,0.0
1,0.2222468329999998,0.0
2,0.4339844999999975,0.0
3,0.6676655549999992,0.0
4,0.9076057589999992,0.0
5,1.1163547220000003,0.0
6,1.3252015360000016,0.0
7,1.5374588510000002,0.0
8,1.7491064069999993,0.0
9,1.9632475730000003,0.0
10,2.179576220999998,0.0
11,2.3884159799999978,0.0
12,2.6031348690000016,0.0
13,2.8268889239999986,0.0
14,3.033113684,0.0
15,3.249951238999998,0.0
16,3.4589863309999984,0.0
17,3.682329313,0.0
18,3.891132276,0.0
19,4.100410737999997,0.0
20,4.309850757,0.0
21,4.534194108999998,0.0
22,4.777497330999999,0.0
23,4.998792145,0.0
24,5.215233663999999,0.0
25,5.430633885999999,0.0
26,5.659817978,0.0
27,5.876032015,0.0
28,6.103084311,0.0
29,6.350043273999997,0.0
30,6.558264478000002,0.0
31,6.770904421999997,0.0
32,6.981889366000001,0.0
33,7.186451366,0.0
34,7.416212087999998,0.0
35,7.666699625,0.0
36,7.872638884000001,0.0
37,8.08614944,0.0
38,8.305990366,0.0
39,8.511107217,0.0
40,8.720119957999998,0.0
41,8.931832643,0.0
42,9.150314754,0.0
43,9.375533308999998,0.0
44,9.586505531,0.0
45,9.873495513000002,3.1
46,10.124795827,3.1
47,10.357160438,3.1
48,10.598817419999996,3.1
49,10.847957993999998,3.1
50,11.084683771000002,3.1
51,11.315647752999991,3.1
52,11.55747066,3.1
53,11.798891808,3.1
54,12.045168123000003,3.1
55,12.291279271,3.1
56,12.538081048000002,3.1
57,12.785872566999998,3.1
58,13.019940603000002,3.1
59,13.254376659000002,3.1
60,13.494939381000002,3.1
61,13.750617954999996,3.1
62,13.982273288000002,3.1
63,14.223472381,3.1
64,14.461704121000004,3.1
65,14.706950436,3.1
66,14.955609269,3.1
67,15.199880860999995,3.1
68,15.449850158000004,3.1
69,15.686036713,3.1
70,15.935516639,3.1
71,16.172765953000003,3.1
72,16.425030508999996,3.1
73,16.65837499,3.1
74,16.888848582999998,3.1
75,17.127320527000002,3.1
76,17.361575619,3.1
77,17.59047023,3.1
78,17.840330823000002,3.1
79,18.068544804,3.1
80,18.306618786,3.1
81,18.558890434,3.1
82,18.808646878,3.1
83,19.063397396,3.1
84,19.313771322,3.1
85,19.553774674,3.1
86,19.78513284,3.1
87,20.030092155,3.1
88,20.264923358,3.1
89,20.516457006,3.1
90,20.753629488,3.1
91,20.988097784,3.1
92,21.224749395,3.1
93,21.463242802,3.1
94,21.698145339,3.1
95,21.922769209,3.1
96,22.158785635,3.1
97,22.40544719,3.1
98,22.656016413,3.1
99,22.899751894,3.1
100,23.135919986,3.1
101,23.388426764,3.1
102,23.627998208,3.1
103,23.856573393,3.1
104,24.091215282,3.1
105,24.329459189,3.1
106,24.563749763,3.1
107,24.802669967,3.1
108,25.047558726000005,3.1
109,25.291366837,3.1
110,25.525342152,3.1
111,25.759780281,3.1
112,26.002295985,3.1
113,26.244587873,3.1
114,26.493795299,3.1
115,26.743583225,3.1
116,26.976289058,3.1
117,27.212826799,3.1
118,27.462200039000003,3.1
119,27.706454169,3.1
120,27.954153354,3.1
121,28.203343502,3.1
122,28.461878613,3.1
123,28.718741039,3.1
124,28.959809464,3.1
125,29.194482205,3.1
126,29.422521538,3.1
127,29.656688168,3.1
128,29.89598813,3.1
129,30.149387816,3.1
130,30.401041223,3.1
131,30.625834463,3.1
132,30.861923315,3.1
133,31.104899148,3.1
134,31.337519463,3.1
135,31.56838387,3.1
136,31.796197907,3.1
137,32.039479185,3.1
138,32.286635999,3.1
139,32.534360055,3.1
140,32.778880592,3.1
141,33.015390518,3.1
142,33.261012758,3.1
143,33.493674165,3.1
144,33.722419424,3.1
145,33.96865061,3.1
146,34.200657498,3.1
147,34.433418091,3.1
148,34.672222165,3.1
149,34.914780665,3.1
150,35.174419627,3.1
151,35.418031368,3.1
152,35.653720701,3.1
153,35.891687238,3.1
154,36.125353571,3.1
155,36.365840534,3.1
156,36.613858978,3.1
157,36.852754812,3.1
158,37.098954015,3.1
159,37.334572182,3.1
160,37.57455583,3.1
161,37.820486904,3.1
162,38.072578829,3.1
163,38.321031903000005,3.1
164,38.555279385,3.1
165,38.811670607,3.1
166,39.062181755,3.1
167,39.318760366,3.1
168,39.558054921,3.1
169,39.948241365,3.1
170,40.369484365,3.1
171,40.64132555,3.1
172,40.868517605,3.1
173,41.09948330900001,3.1
174,41.349323420000005,3.1
175,41.592813994,3.1
176,41.839337068000006,3.1
177,42.079194105,3.1
178,42.31315216,3.1
179,42.544039567,3.1
180,42.783258604,3.1
181,43.01720501199999,3.1
182,43.26723071500001,3.1
183,43.516226585,3.1
184,43.755492381,3.1
185,43.981004437,3.1
186,44.21691014,3.1
187,44.47033036299999,3.1
188,44.70547802899999,3.1
189,44.938089862,3.1
190,45.18827391799999,3.1
191,45.43378289900001,3.1
192,45.69640901,3.1
193,45.941364343,3.1
194,46.177779621,3.1
195,46.419433047,3.1
196,46.684314546,3.1
197,46.929585602,3.1
198,47.172747305,3.1
199,47.41140697200001,3.1
200,47.668049231,3.1
201,47.906083657,3.1
202,48.150570583,3.1
203,48.39039998999999,3.1
204,48.627244971,3.1
205,48.856660953,3.1
206,49.093411804,3.1
207,49.326962193,3.1
208,49.56770256300001,3.1
209,49.808581248,3.1
210,50.052836396,3.1
211,50.307006433,3.1
212,50.54371737700001,3.1
213,50.79105813699999,3.1
214,51.02805282200001,3.1
215,51.269599525,3.1
216,51.509653488,3.1
217,51.75800076600001,3.1
218,51.99226554299999,3.1
219,52.24623395,3.1
220,52.49036443199999,3.1
221,52.73548035799999,3.1
222,52.98538211699999,3.1
223,53.22743117200001,3.1
224,53.451120246,3.1
225,53.69546504200001,3.1
226,53.930866042000005,3.1
227,54.18063848600001,3.1
228,54.421725505,3.1
229,54.659645301,3.1
230,54.89975176399999,3.1
231,55.14168902300001,3.1
232,55.383638115,3.1
233,55.61531370799999,3.1
234,55.867208893,3.1
235,56.1019973,3.1
236,56.342010041,3.1
237,56.59489231800001,3.1
238,56.83925767,3.1
239,57.084035411,3.1
240,57.319905947,3.1
241,57.54745067,3.1
242,57.784764688,3.1
243,58.03116900299999,3.1
244,58.255236651,3.1
245,58.490773373,3.1
246,58.72523726099999,3.1
247,58.953551428,3.1
248,59.19803740900001,3.1
249,59.435195354,3.1
250,59.690008779,3.1
251,59.93076170500001,3.1
252,60.168496149000006,3.1
253,60.414500649,3.1
254,60.653929649000005,3.1
255,60.906290834,3.11
256,61.14558179699999,3.18035714
257,61.381318038,3.24892857
258,61.639688815,3.2625
259,61.89312876,3.26607143
260,62.126458204,3.27892857
261,62.36527883299999,3.42428571
262,62.613329296,3.4675
263,62.866692444,3.51
264,63.10188261099999,3.56678571
265,63.34549870299999,3.59571429
266,63.599612518,3.59571429
267,63.849027221,3.59571429
268,64.083657925,3.59571429
269,64.35613661,3.59571429
270,64.62148222100001,3.59571429
271,64.868502424,3.59571429
272,65.12849503499999,3.59571429
273,65.40866572,3.59571429
274,65.642838387,3.59571429
275,65.901408276,3.59571429
276,66.141065942,3.59571429
277,66.385759072,3.59571429
278,66.649165553,3.59571429
279,66.900053497,3.59571429
280,67.142977719,3.59571429
281,67.39976609,3.59571429
282,67.67766605199999,3.59571429
283,67.926512256,3.59571429
284,68.187178163,3.59571429
285,68.420426422,3.59571429
286,68.669271626,3.59571429
287,68.925373496,3.59571429
288,69.176316626,3.59571429
289,69.414060088,3.59571429
290,69.662344422,3.59571429
291,69.91471431,3.59571429
292,70.160562903,3.59571429
293,70.413172829,3.59571429
294,70.68471936499999,3.59571429
295,70.928198236,3.59571429
296,71.202428235,3.59571429
297,71.446662698,3.59571429
298,71.70307054999999,3.59571429
299,71.967759642,3.59571429
300,72.220981198,3.59571429
301,72.460804753,3.59571429
302,72.725459512,3.59571429
303,72.99444266,3.59571429
304,73.24422301199999,3.59571429
305,73.485955827,3.59571429
306,73.754967623,3.55964286
307,74.006497308,3.25214286
308,74.239185011,3.1
309,74.484286789,3.1
310,74.744367789,3.1
311,74.997075604,3.1
312,75.257147215,3.1
313,75.488715659,3.1
314,75.735898159,3.1
315,75.981271084,3.1
316,76.243089899,3.1
317,76.48124301,3.1
318,76.744709454,3.1
319,77.002277158,3.1
320,77.27769441699999,3.1
321,77.510487287,3.1
322,77.753289195,3.1
323,78.002481343,3.1
324,78.246507398,3.1
325,78.49933562,3.1
326,78.758309712,3.1
327,79.01213704599999,3.1
328,79.273254286,3.1
329,79.516261045,3.1
330,79.791883471,3.1
331,80.033334749,3.1
332,80.293839823,3.1
333,80.544205526,3.1
334,80.789450008,3.1
335,81.052103415,3.1
336,81.295686137,3.1
337,81.541958322,3.1
338,81.835895062,3.1
339,82.094338007,3.1
340,82.360325377,3.1
341,82.59800734,3.1
342,82.877471654,3.1
343,83.137105451,3.1
344,83.38789507999999,3.1
345,83.631682135,3.1
346,83.887726913,3.1
347,84.145708487,3.1
348,84.391657709,3.1
349,84.639620153,3.1
350,84.91072230099999,3.1
351,85.171725579,3.1
352,85.41466506,3.1
353,85.645404894,0.0
354,85.856813671,0.0
355,86.06609206,0.0
356,86.274050245,0.0
